0,1838
0,1744
0,14
0,2543
1,1009
1,1171
1,1465
1,2069
1,2080
1,1856
1,3799
1,1033
1,2717
1,300
1,1603
1,942
1,3678
1,952
1,815
2,3656
2,3459
2,1157
2,1993
3,386
3,2659
3,2160
3,1925
3,3511
3,372
3,1506
3,2303
3,1634
3,1706
3,3038
3,749
3,2790
3,452
3,1936
3,2915
3,2972
3,1100
3,2918
3,3026
3,2406
3,1673
3,11
3,3156
3,2250
3,2350
3,1050
3,1060
3,1457
3,3054
3,72
3,1553
3,1114
3,3525
3,2064
3,3791
3,1595
3,1177
3,1596
3,2935
3,545
3,1840
3,423
3,1788
3,2890
3,603
3,1498
3,703
3,1073
3,1422
3,3283
3,2590
3,3431
3,354
3,1720
3,3291
3,2773
3,2804
3,2476
3,2036
3,46
3,1986
3,2588
3,3507
3,566
4,667
4,1931
5,275
5,1874
5,3832
5,2847
5,1929
5,3237
5,1209
5,578
5,3852
5,1452
5,2361
5,590
5,2005
5,77
5,3409
5,2816
5,80
5,2454
5,1119
5,771
5,3204
5,2201
5,2764
5,1609
5,315
5,3550
5,1193
5,2344
5,1370
5,2593
5,2472
5,3221
5,3062
5,3747
5,3082
5,2713
5,911
6,556
6,2524
6,3839
6,2355
7,2170
7,495
3189,2109
3189,1920
3189,1961
3189,3651
3189,2179
3189,3339
3189,938
3189,48
3189,2549
3189,3122
3189,2984
3189,3870
3189,908
3189,2449
3189,3143
3189,965
3189,229
3189,1729
3189,3519
9,2848
9,444
9,2424
9,920
9,393
9,3316
9,455
9,130
9,2731
9,3536
9,3392
9,2126
9,2055
9,3135
9,450
9,245
9,2584
9,1190
9,1530
9,1617
9,1678
9,3238
9,3096
75,111
75,2801
75,187
75,3397
75,1268
75,516
75,2860
75,1864
11,386
11,2659
11,2160
11,1925
11,3511
11,372
11,1506
11,2915
11,2303
11,3376
11,1634
11,1706
11,749
11,2790
11,452
11,1936
11,2672
11,2972
11,1100
11,2918
11,3026
11,2406
11,1673
11,1553
11,2250
11,2350
11,1050
11,3662
11,1060
11,1788
11,1457
11,3054
11,72
11,1114
11,3476
11,76
11,3525
11,2064
11,3791
11,1595
11,1177
11,1596
11,2935
11,545
11,1840
11,423
11,1986
11,2890
11,603
11,1498
11,703
11,1073
11,1422
11,3283
11,2590
11,3431
11,354
11,1720
11,3291
11,3156
11,2804
11,2476
11,2036
11,46
11,3701
11,2588
11,3507
11,566
11,2773
12,3336
12,26
1865,1184
1865,2661
1865,1961
1865,2724
1865,3235
1865,1696
1865,342
1865,264
1865,126
1865,3519
1865,2571
1865,1980
1865,2241
1865,2373
1865,3394
1865,460
1865,3659
1865,1399
1865,229
1865,3122
1865,2024
1865,1998
1865,1775
1865,2821
1865,2799
1865,1122
1865,2998
1865,3884
1865,2464
1865,2206
1865,362
1865,3244
1865,672
1865,3164
1865,3552
